participant_id	onset	duration	trial_type	trial_code	response	RT	money	carbon
2711a	5.7931	10	CET	c4_m2	LEFT	2.7268	50	40
2711a	20.8354	10	CET	c1_m1	RIGHT	2.0685000000000002	10	2
2711a	36.1265	10	dummy	dl0	LEFT	2.4174000000000007	0	0
2711a	51.1682	10	CET	m5_c2	LEFT	2.871700000000004	120	10
2711a	66.9604	10	CET	c3_m5	LEFT	3.5034999999999883	120	25
2711a	83.2521	10	CET	m0_c2	RIGHT	3.227800000000002	0	10
2711a	99.5433	10	CET	c5_m0	LEFT	2.296599999999998	0	50
2711a	114.585	10	dummy	dr0	RIGHT	1.8389000000000095	0	0
2711a	130.6267	10	CET	m4_c5	RIGHT	2.813199999999995	100	50
2711a	147.4189	10	CET	c3_m2	LEFT	2.6048999999999864	50	25
2711a	162.9606	10	CET	m1_c3	RIGHT	2.4632000000000005	10	25
2711a	178.0106	10	dummy	dl1	LEFT	1.6931999999999903	0	0
2711a	193.0523	10	CET	c0_m0	LEFT	4.091499999999996	0	0
2711a	208.344	10	CET	c4_m1	LEFT	2.5597999999999956	10	40
2711a	224.8857	10	CET	m4_c3	LEFT	4.034099999999995	100	25
2711a	240.9266	10	dummy	dr1	RIGHT	1.4971999999999923	0	0
2711a	256.719	10	CET	c5_m5	LEFT	3.7848000000000184	120	50
2711a	273.0107	10	CET	m1_c0	LEFT	2.0131000000000085	10	0
2711a	290.0519	10	dummy	dr3	RIGHT	1.6439000000000306	0	0
2711a	306.5941	10	CET	m3_c3	RIGHT	3.181699999999978	80	25
2711a	322.8941	10	CET	m3_c5	RIGHT	2.2256000000000427	80	50
2711a	338.1775	10	CET	m2_c1	LEFT	2.7982000000000085	50	2
2711a	354.7192	10	CET	c1_m0	LEFT	2.3765000000000214	0	2
2711a	371.7609	10	dummy	dr2	RIGHT	1.574799999999982	0	0
2711a	387.8026	10	CET	m2_c2	LEFT	3.0371000000000095	50	10
2711a	403.3609	10	CET	m4_c0	LEFT	1.7987999999999715	100	0
2711a	418.8943	10	CET	c0_m5	RIGHT	1.641300000000001	120	0
2711a	435.186	10	dummy	dl3	LEFT	1.5097000000000094	0	0
2711a	451.977	10	CET	m4_c1	LEFT	1.998700000000042	100	2
2711a	467.2694	10	CET	c4_m4	LEFT	3.1701999999999657	100	40
2711a	483.3104	10	dummy	dl2	LEFT	1.4492999999999938	0	0
2711a	498.3527	10	CET	c0_m2	RIGHT	1.8228999999999473	50	0
2711a	514.9111	10	CET	c4_m3	LEFT	2.3684999999999263	80	40
2711a	530.7028	10	CET	m5_c4	RIGHT	3.4728000000000065	120	40
2711a	546.4939	10	CET	c4_m0	LEFT	1.2416999999999234	0	40
2711a	561.5528	10	dummy	dl4	LEFT	1.3666999999999234	0	0
2711a	578.3273	10	CET	c2_m4	RIGHT	2.088300000000004	100	10
2711a	593.3779	10	CET	m5_c1	LEFT	1.3577000000000226	120	2
2711a	609.9196	10	CET	c5_m1	LEFT	1.8560000000001082	10	50
2711a	625.7107	10	dummy	dr4	RIGHT	1.2088999999999714	0	0
2711a	640.7529	10	CET	m0_c3	RIGHT	1.6067000000000462	0	25
2711a	657.5446	10	CET	c0_m3	RIGHT	1.7110000000000127	80	0
